section,section_label,order,date,kind,source,asset
00_opening,Opening,1,2025-05-16,photo,/Users/heecchoi/윤서/baby-growth-video/photo_df_1.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/00_opening/001_2025-05-16_photo_ultrasound_1.jpg
00_opening,Opening,2,2025-05-16,photo,/Users/heecchoi/윤서/baby-growth-video/photo_df_2.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/00_opening/002_2025-05-16_photo_ultrasound_2.jpg
00_opening,Opening,3,2025-05-16,photo,/Users/heecchoi/윤서/baby-growth-video/photo_df_3.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/00_opening/003_2025-05-16_photo_ultrasound_3.jpg
00_opening,Opening,4,2025-05-16,photo,/Users/heecchoi/윤서/baby-growth-video/photo_df_4.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/00_opening/004_2025-05-16_photo_ultrasound_4.jpg
00_opening,Opening,5,2025-05-16,photo,/Users/heecchoi/윤서/baby-growth-video/photo_df_5.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/00_opening/005_2025-05-16_photo_ultrasound_5.jpg
02_1-3_months,02_1-3_months,1,2025-07-05,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250705_201429.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/001_2025-07-05_201429_video.mp4
02_1-3_months,02_1-3_months,2,2025-07-09,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1752035917450.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/002_2025-07-09_133837_photo.jpg
02_1-3_months,02_1-3_months,3,2025-07-10,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1752150993229.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/003_2025-07-10_213633_photo.jpg
02_1-3_months,02_1-3_months,4,2025-07-15,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1752534370264.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/004_2025-07-15_080610_photo.jpg
02_1-3_months,02_1-3_months,5,2025-07-15,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250715_220728.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/005_2025-07-15_220728_video.mp4
02_1-3_months,02_1-3_months,6,2025-07-18,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1752800235249.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/006_2025-07-18_095715_photo.jpg
02_1-3_months,02_1-3_months,7,2025-07-18,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1752800238951.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/007_2025-07-18_095718_photo.jpg
02_1-3_months,02_1-3_months,8,2025-07-18,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1752800239257.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/008_2025-07-18_095719_photo.jpg
02_1-3_months,02_1-3_months,9,2025-07-20,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250720_130543.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/009_2025-07-20_130543_photo.jpg
02_1-3_months,02_1-3_months,10,2025-07-21,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1753098244286.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/010_2025-07-21_204404_photo.jpg
02_1-3_months,02_1-3_months,11,2025-07-22,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1753152565661.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/011_2025-07-22_114925_photo.jpg
02_1-3_months,02_1-3_months,12,2025-07-24,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250724_200352.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/012_2025-07-24_200352_video.mp4
02_1-3_months,02_1-3_months,13,2025-07-27,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250727_094456.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/013_2025-07-27_094456_video.mp4
02_1-3_months,02_1-3_months,14,2025-07-27,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250727_102340.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/014_2025-07-27_102340_video.mp4
02_1-3_months,02_1-3_months,15,2025-08-04,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1754273464683.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/015_2025-08-04_111104_photo.jpg
02_1-3_months,02_1-3_months,16,2025-08-05,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250805_120149.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/016_2025-08-05_120149_video.mp4
02_1-3_months,02_1-3_months,17,2025-08-08,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1754615693502.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/017_2025-08-08_101453_photo.jpg
02_1-3_months,02_1-3_months,18,2025-08-09,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250809_161458.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/018_2025-08-09_161458_photo.jpg
02_1-3_months,02_1-3_months,19,2025-08-12,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250812_153920.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/019_2025-08-12_153920_photo.jpg
02_1-3_months,02_1-3_months,20,2025-08-13,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250813_125431.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/020_2025-08-13_125431_video.mp4
02_1-3_months,02_1-3_months,21,2025-08-15,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250815_160007.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/021_2025-08-15_160007_photo.jpg
02_1-3_months,02_1-3_months,22,2025-08-17,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250817_123709.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/022_2025-08-17_123709_photo.jpg
02_1-3_months,02_1-3_months,23,2025-08-17,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/20250817_205152.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/023_2025-08-17_205152_video.mp4
02_1-3_months,02_1-3_months,24,2025-08-23,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1755945072752.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/024_2025-08-23_193112_photo.jpg
02_1-3_months,02_1-3_months,25,2025-08-29,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/02_1-3_months/1756460287914.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/02_1-3_months/025_2025-08-29_183807_photo.jpg
